time;traffic
3121;400000000000
3122;400000000000
3123;400000000000
3124;389000000000
3125;389000000000
3126;389000000000
3127;389000000000
3128;389000000000
3129;335000000000
3130;335000000000
3131;335000000000
3132;335000000000
3133;335000000000
3134;427000000000
3135;427000000000
3136;427000000000
3137;427000000000
3138;427000000000
3139;417000000000
3140;417000000000
3141;417000000000
3142;417000000000
3143;417000000000
3144;449000000000
3145;449000000000
3146;449000000000
3147;449000000000
3148;449000000000
3149;388000000000
3150;388000000000
3151;388000000000
3152;388000000000
3153;388000000000
3154;366000000000
3155;366000000000
3156;366000000000
3157;366000000000
3158;366000000000
3159;427000000000
3160;427000000000
3161;427000000000
3162;427000000000
3163;427000000000
3164;483000000000
3165;483000000000
3166;483000000000
3167;483000000000
3168;483000000000
3169;489000000000
3170;489000000000
3171;489000000000
3172;489000000000
3173;489000000000
3174;437000000000
3175;437000000000
3176;437000000000
3177;437000000000
3178;437000000000
3179;419000000000
3180;419000000000
3181;419000000000
3182;419000000000
3183;419000000000
3184;446000000000
3185;446000000000
3186;446000000000
3187;446000000000
3188;446000000000
3189;496000000000
3190;496000000000
3191;496000000000
3192;496000000000
3193;496000000000
3194;407000000000
3195;407000000000
3196;407000000000
3197;407000000000
3198;407000000000
3199;435000000000
3200;435000000000
3201;435000000000
3202;435000000000
3203;435000000000
3204;418000000000
3205;418000000000
3206;418000000000
3207;418000000000
3208;418000000000
3209;415000000000
3210;415000000000
3211;415000000000
3212;415000000000
3213;415000000000
3214;407000000000
3215;407000000000
3216;407000000000
3217;407000000000
3218;407000000000
3219;430000000000
3220;430000000000
3221;430000000000
3222;430000000000
3223;430000000000
3224;400000000000
3225;400000000000
3226;400000000000
3227;400000000000
3228;400000000000
3229;415000000000
3230;415000000000
3231;415000000000
3232;415000000000
3233;415000000000
3234;456000000000
3235;456000000000
3236;456000000000
3237;456000000000
3238;456000000000
3239;468000000000
3240;468000000000
3241;468000000000
3242;468000000000
3243;468000000000
3244;505000000000
3245;505000000000
3246;505000000000
3247;505000000000
3248;505000000000
3249;492000000000
3250;492000000000
3251;492000000000
3252;492000000000
3253;492000000000
3254;461000000000
3255;461000000000
3256;461000000000
3257;461000000000
3258;461000000000
3259;472000000000
3260;472000000000
3261;472000000000
3262;472000000000
3263;472000000000
3264;502000000000
3265;502000000000
3266;502000000000
3267;502000000000
3268;502000000000
3269;503000000000
3270;503000000000
3271;503000000000
3272;503000000000
3273;503000000000
3274;499000000000
3275;499000000000
3276;499000000000
3277;499000000000
3278;499000000000
3279;495000000000
3280;495000000000
3281;495000000000
3282;495000000000
3283;495000000000
3284;495000000000
3285;486000000000
3286;486000000000
3287;486000000000
3288;486000000000
3289;527000000000
3290;527000000000
3291;527000000000
3292;527000000000
3293;527000000000
3294;534000000000
3295;534000000000
3296;534000000000
3297;534000000000
3298;534000000000
3299;516000000000
3300;516000000000
3301;516000000000
3302;516000000000
3303;516000000000
3304;52700000000
3305;52700000000
3306;52700000000
3307;52700000000
3308;52700000000
3309;493000000000
3310;493000000000
3311;493000000000
3312;493000000000
3313;493000000000
3314;422000000000
3315;422000000000
3316;422000000000
3317;422000000000
3318;422000000000
3319;441000000000
3320;441000000000
3321;441000000000
3322;441000000000
3323;441000000000
3324;469000000000
3325;469000000000
3326;469000000000
3327;469000000000
3328;469000000000
3329;430000000000
3330;430000000000
3331;430000000000
3332;430000000000
3333;430000000000
3334;442000000000
3335;442000000000
3336;442000000000
3337;442000000000
3338;442000000000
3339;425000000000
3340;425000000000
3341;425000000000
3342;425000000000
3343;425000000000
3344;407000000000
3345;407000000000
3346;407000000000
3347;407000000000
3348;407000000000
3349;425000000000
3350;425000000000
3351;425000000000
3352;425000000000
3353;425000000000
3354;43500000000
3355;43500000000
3356;43500000000
3357;43500000000
3358;43500000000
3359;432000000000
3360;432000000000
3361;432000000000
3362;432000000000
3363;432000000000
3364;433000000000
3365;433000000000
3366;433000000000
3367;433000000000
3368;433000000000
3369;435000000000
3370;435000000000
3371;435000000000
3372;435000000000
3373;435000000000
3374;449000000000
3375;449000000000
3376;449000000000
3377;449000000000
3378;449000000000
3379;456000000000
3380;456000000000
3381;456000000000
3382;456000000000
3383;456000000000
3384;45200000000
3385;45200000000
3386;45200000000
3387;45200000000
3388;45200000000
3389;461000000000
3390;461000000000
3391;461000000000
3392;461000000000
3393;461000000000
3394;491000000000
3395;491000000000
3396;491000000000
3397;491000000000
3398;491000000000
3399;475000000000
3400;475000000000
3401;475000000000
3402;475000000000
3403;475000000000
3404;452000000000
3405;452000000000
3406;452000000000
3407;452000000000
3408;452000000000
3409;492000000000
3410;492000000000
3411;492000000000
3412;492000000000
3413;492000000000
3414;451000000000
3415;451000000000
3416;451000000000
3417;451000000000
3418;451000000000
3419;430000000000
3420;430000000000
3421;430000000000
3422;430000000000
3423;430000000000
3424;426000000000
3425;426000000000
3426;426000000000
3427;426000000000
3428;426000000000
3429;359000000000
3430;359000000000
3431;359000000000
3432;359000000000
3433;359000000000
3434;363000000000
3435;363000000000
3436;363000000000
3437;363000000000
3438;363000000000
3439;369000000000
3440;369000000000
3441;369000000000
3442;369000000000
3443;369000000000
3444;325000000000
3445;325000000000
3446;325000000000
3447;325000000000
3448;325000000000
3449;312000000000
3450;312000000000
3451;312000000000
3452;312000000000
3453;312000000000
3454;373000000000
3455;373000000000
3456;373000000000
3457;373000000000
3458;373000000000
3459;430000000000
3460;430000000000
3461;430000000000
3462;430000000000
3463;430000000000
3464;448000000000
3465;448000000000
3466;448000000000
3467;448000000000
3468;448000000000
3469;437000000000
3470;437000000000
3471;437000000000
3472;437000000000
3473;437000000000
3474;468000000000
3475;468000000000
3476;468000000000
3477;468000000000
3478;468000000000
3479;436000000000
3480;436000000000
3481;436000000000
3482;436000000000
3483;436000000000
3484;337000000000
3485;337000000000
3486;337000000000
3487;337000000000
3488;337000000000
3489;358000000000
3490;358000000000
3491;358000000000
3492;358000000000
3493;358000000000
3494;391000000000
3495;391000000000
3496;391000000000
3497;391000000000
3498;391000000000
3499;373000000000
3500;373000000000
3501;373000000000
3502;373000000000
3503;373000000000
3504;388000000000
3505;388000000000
3506;388000000000
3507;388000000000
3508;388000000000
3509;450000000000
3510;450000000000
3511;450000000000
3512;450000000000
3513;450000000000
3514;527000000000
3515;527000000000
3516;527000000000
3517;527000000000
3518;527000000000
3519;513000000000
3520;513000000000
3521;513000000000
3522;513000000000
3523;513000000000
3524;511000000000
3525;511000000000
3526;511000000000
3527;511000000000
3528;511000000000
3529;529000000000
3530;529000000000
3531;529000000000
3532;529000000000
3533;529000000000
3534;530000000000
3535;530000000000
3536;530000000000
3537;530000000000
3538;530000000000
3539;442000000000
3540;442000000000
3541;442000000000
3542;442000000000
3543;442000000000
3544;516000000000
3545;516000000000
3546;516000000000
3547;516000000000
3548;516000000000
3549;478000000000
3550;478000000000
3551;478000000000
3552;478000000000
3553;478000000000
3554;435000000000
3555;435000000000
3556;435000000000
3557;435000000000
3558;435000000000
3559;517000000000
3560;517000000000
3561;517000000000
3562;517000000000
3563;517000000000
3564;526000000000
3565;526000000000
3566;526000000000
3567;526000000000
3568;526000000000
3569;484000000000
3570;484000000000
3571;484000000000
3572;484000000000
3573;484000000000
3574;477000000000
3575;477000000000
3576;477000000000
3577;477000000000
3578;477000000000
3579;450000000000
3580;450000000000
3581;450000000000
3582;450000000000
3583;450000000000
3584;476000000000
3585;476000000000
3586;476000000000
3587;476000000000
3588;476000000000
3589;482000000000
3590;482000000000
3591;482000000000
3592;482000000000
3593;482000000000
3594;475000000000
3595;475000000000
3596;475000000000
3597;475000000000
3598;475000000000
3599;387000000000
3600;387000000000
3601;387000000000
3602;387000000000
3603;387000000000
3604;395000000000
3605;395000000000
3606;395000000000
3607;395000000000
3608;395000000000
3609;389000000000
3610;389000000000
3611;389000000000
3612;389000000000
3613;389000000000
3614;401000000000
3615;401000000000
3616;401000000000
3617;401000000000
3618;401000000000
3619;388000000000
3620;388000000000
3621;388000000000
3622;388000000000
3623;388000000000
3624;394000000000
3625;394000000000
3626;394000000000
3627;394000000000
3628;394000000000
3629;367000000000
3630;367000000000
3631;367000000000
3632;367000000000
3633;367000000000
3634;352000000000
3635;352000000000
3636;352000000000
3637;352000000000
3638;352000000000
3639;340000000000
3640;340000000000
3641;340000000000
3642;340000000000
3643;340000000000
3644;338000000000
3645;338000000000
3646;338000000000
3647;338000000000
3648;338000000000
3649;33400000000
3650;33400000000
3651;33400000000
3652;33400000000
3653;33400000000
3654;329000000000
3655;329000000000
3656;329000000000
3657;329000000000
3658;329000000000
3659;318000000000
3660;318000000000
3661;318000000000
3662;318000000000
3663;318000000000
3664;347000000000
3665;347000000000
3666;347000000000
3667;347000000000
3668;347000000000
3669;340000000000
3670;340000000000
3671;340000000000
3672;340000000000
3673;340000000000
3674;338000000000
3675;338000000000
3676;338000000000
3677;338000000000
3678;338000000000
3679;350000000000
3680;350000000000
3681;350000000000
3682;350000000000
3683;350000000000
3684;436000000000
3685;436000000000
3686;436000000000
3687;436000000000
3688;436000000000
3689;446000000000
3690;446000000000
3691;446000000000
3692;446000000000
3693;446000000000
3694;463000000000
3695;463000000000
3696;463000000000
3697;463000000000
3698;463000000000
3699;421000000000
3700;421000000000
3701;421000000000
3702;421000000000
3703;421000000000
3704;302000000000
3705;302000000000
3706;302000000000
3707;302000000000
3708;302000000000
3709;365000000000
3710;365000000000
3711;365000000000
3712;365000000000
3713;365000000000
3714;432000000000
3715;432000000000
3716;432000000000
3717;432000000000
3718;432000000000
3719;436000000000
3720;436000000000
3721;436000000000
3722;436000000000
3723;436000000000
3724;424000000000
3725;424000000000
3726;424000000000
3727;424000000000
3728;424000000000
3729;39500000000
3730;39500000000
3731;39500000000
3732;39500000000
3733;39500000000
3734;476000000000
3735;476000000000
3736;476000000000
3737;476000000000
3738;476000000000
3739;430000000000
3740;430000000000
3741;430000000000
3742;430000000000
3743;430000000000
3744;360000000000
3745;360000000000
3746;360000000000
3747;360000000000
3748;360000000000
3749;382000000000
3750;382000000000
3751;382000000000
3752;382000000000
3753;382000000000
3754;421000000000
3755;421000000000
3756;421000000000
3757;421000000000
3758;421000000000
3759;391000000000
3760;391000000000
3761;391000000000
3762;391000000000
3763;391000000000
3764;424000000000
3765;424000000000
3766;424000000000
3767;424000000000
3768;424000000000
3769;42000000000
3770;42000000000
3771;42000000000
3772;42000000000
3773;42000000000
3774;34000000000
3775;34000000000
3776;34000000000
3777;34000000000
3778;34000000000
3779;369000000000
3780;369000000000
3781;369000000000
3782;369000000000
3783;369000000000
3784;376000000000
3785;376000000000
3786;376000000000
3787;376000000000
3788;376000000000
3789;300000000000
3790;300000000000
3791;300000000000
3792;300000000000
3793;300000000000
3794;304000000000
3795;304000000000
3796;304000000000
3797;304000000000
3798;304000000000
3799;313000000000
3800;313000000000
3801;313000000000
3802;313000000000
3803;313000000000
3804;320000000000
3805;320000000000
3806;320000000000
3807;320000000000
3808;320000000000
3809;25400000000
3810;25400000000
3811;25400000000
3812;25400000000
3813;25400000000
3814;279000000000
3815;279000000000
3816;279000000000
3817;279000000000
3818;279000000000
3819;296000000000
3820;296000000000
3821;296000000000
3822;296000000000
3823;296000000000
3824;304000000000
3825;304000000000
3826;304000000000
3827;304000000000
3828;304000000000
3829;317000000000
3830;317000000000
3831;317000000000
3832;317000000000
3833;317000000000
3834;289000000000
3835;289000000000
3836;289000000000
3837;289000000000
3838;289000000000
3839;321000000000
3840;321000000000
3841;321000000000
3842;321000000000
3843;321000000000
3844;321000000000
3845;321000000000
3846;321000000000
3847;321000000000
3848;321000000000
3849;329000000000
3850;329000000000
3851;329000000000
3852;329000000000
3853;329000000000
3854;399000000000
3855;399000000000
3856;399000000000
3857;399000000000
3858;399000000000
3859;385000000000
3860;385000000000
3861;385000000000
3862;385000000000
3863;385000000000
3864;374000000000
3865;374000000000
3866;374000000000
3867;374000000000
3868;374000000000
3869;377000000000
3870;377000000000
3871;377000000000
3872;377000000000
3873;377000000000
3874;408000000000
3875;408000000000
3876;408000000000
3877;408000000000
3878;408000000000
3879;363000000000
3880;363000000000
3881;363000000000
3882;363000000000
3883;363000000000
3884;346000000000
3885;346000000000
3886;346000000000
3887;346000000000
3888;346000000000
3889;439000000000
3890;439000000000
3891;439000000000
3892;439000000000
3893;439000000000
3894;468000000000
3895;468000000000
3896;468000000000
3897;468000000000
3898;468000000000
3899;408000000000
3900;408000000000
3901;408000000000
3902;408000000000
3903;408000000000
3904;423000000000
3905;423000000000
3906;423000000000
3907;423000000000
3908;423000000000
3909;418000000000
3910;418000000000
3911;418000000000
3912;418000000000
3913;418000000000
3914;441000000000
3915;441000000000
3916;441000000000
3917;441000000000
3918;441000000000
3919;387000000000
3920;387000000000
3921;387000000000
3922;387000000000
3923;387000000000
3924;336000000000
3925;336000000000
3926;336000000000
3927;336000000000
3928;336000000000
3929;350000000000
3930;350000000000
3931;350000000000
3932;350000000000
3933;350000000000
3934;35300000000
3935;35300000000
3936;35300000000
3937;35300000000
3938;35300000000
3939;352000000000
3940;352000000000
3941;352000000000
3942;352000000000
3943;352000000000
3944;311000000000
3945;311000000000
3946;311000000000
3947;311000000000
3948;311000000000
3949;363000000000
3950;363000000000
3951;363000000000
3952;363000000000
3953;363000000000
3954;318000000000
3955;318000000000
3956;318000000000
3957;318000000000
3958;318000000000
3959;298000000000
3960;298000000000
3961;298000000000
3962;298000000000
3963;298000000000
3964;278000000000
3965;278000000000
3966;278000000000
3967;278000000000
3968;278000000000
3969;30900000000
3970;30900000000
3971;30900000000
3972;30900000000
3973;30900000000
3974;277000000000
3975;277000000000
3976;277000000000
3977;277000000000
3978;277000000000
3979;276000000000
3980;276000000000
3981;276000000000
3982;276000000000
3983;276000000000
3984;268000000000
3985;268000000000
3986;268000000000
3987;268000000000
3988;268000000000
3989;249000000000
3990;249000000000
3991;249000000000
3992;249000000000
3993;249000000000
3994;275000000000
3995;275000000000
3996;275000000000
3997;275000000000
3998;275000000000
3999;199000000000
4000;199000000000
4001;199000000000
4002;199000000000
4003;199000000000
4004;184000000000
4005;184000000000
4006;184000000000
4007;184000000000
4008;184000000000
4009;178000000000
4010;178000000000
4011;178000000000
4012;178000000000
4013;178000000000
4014;183000000000
4015;183000000000
4016;183000000000
4017;183000000000
4018;183000000000
4019;169000000000
4020;169000000000
4021;169000000000
4022;169000000000
4023;169000000000
4024;183000000000
4025;183000000000
4026;183000000000
4027;183000000000
4028;183000000000
4029;203000000000
4030;203000000000
4031;203000000000
4032;203000000000
4033;203000000000
4034;205000000000
4035;205000000000
4036;205000000000
4037;205000000000
4038;205000000000
4039;189000000000
4040;189000000000
4041;189000000000
4042;189000000000
4043;189000000000
4044;195000000000
4045;195000000000
4046;195000000000
4047;195000000000
4048;195000000000
4049;204000000000
4050;204000000000
4051;204000000000
4052;204000000000
4053;204000000000
4054;233000000000
4055;233000000000
4056;233000000000
4057;233000000000
4058;233000000000
4059;219000000000
4060;219000000000
4061;219000000000
4062;219000000000
4063;219000000000
4064;205000000000
4065;205000000000
4066;205000000000
